question,cls
ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน ไร้ใบตราสาร,0
Penny Stock หุ้นเหรียญ มีลักษณะอย่างไร,0
ราคาต้นงวดคืออะไร,0
อัตราการใช้สิทธิของ NVDR คือเท่าไหร่,0
หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) คืออะไร,0
ข้อสัญญา (Covenants) คืออะไร,0
XT คืออะไร,0
Equity-Linked Product  คืออะไร,0
หลักเกณฑ์การขึ้นเครื่องหมาย  SP มีอะไรบ้าง,0
รายละเอียด เสนอขายกองทุนครั้งแรก (Initial Public Offering: IPO) มีอะไรบ้าง,0
ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ในไทย มีอะไรบ้าง,0
ผู้ออกตั๋วเงินคลัง คือผู้ใด,0
รูปแบบของกระแสเงินสด มีกี่รูปแบบ,0
ประโยชน์ของกองทุนรวมต่อด้านตลาดการเงิน คืออะไร,0
สำนักหักบัญชี ทำหน้าที่อะไร,0
หนังสือชี้ชวนส่วนข้อมูลโครงการ คืออะไร,0
Feeder Fund คืออะไร,0
อายุของตราสาร ของ Warrant (ไทย) คือเท่าไหร่,0
SETSMART on Internet มีอะไรบ้าง,0
หลักการสำคัญในการคำนวณราคาเปิดและราคาปิด คืออะไร,0
สมมติฐานการนำดอกเบี้ยรับไปลงทุนต่อ คืออะไร,0
SETSMART on Extranet มีอะไรบ้าง,0
บริหารแบบเชิงรุกมีความเชื่ออย่างไร,0
LTF มีนโยบายการลงทุน อย่างไร,0
การซื้อแล้วถือยาว (Buy and Hold Strategy) มีวิธีการอย่างไร,0
ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีกี่ระดับ,0
บริหารแบบเชิงรุก มีวิธีการลงทุนอย่างไร,0
ตราสารหนี้แบ่งตามสิทธิแฝง มีอะไรบ้าง,0
Mid-cap Stock (หุ้นกลาง) คืออะไร,0
กองทุนรวมตราสารทุน (Equity Fund) คืออะไร,0
16.30 – 16.40 น. มีรายละเอียดอย่างไร,0
ผู้ที่ออกตั๋วแลกเงินและ หุ้นกู้ คือผู้ใด,0
Floor คืออะไร,0
CB คืออะไร,0
กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คืออะไร,0
กองทุนที่ได้สิทธิประโยชน์ทางภาษีในปัจจุบันมีกองทุนอะไรบ้าง,0
NP คืออะไร,0
ประโยชน์ของกองทุนรวมต่อด้านระบบเศรษฐกิจ คืออะไร,0
วิธีคิดลดกระแสเงินสดอิสระของกิจการ (Discounted Free Cash Flow to Firm) คืออะไร,0
เพราะเหตุใดผู้ลงทุนจึงไม่ควรซื้อ LTF และ RMF เกินสิทธิที่ได้รับการลดหย่อนภาษี,0
ตราสารหนี้ระยะยาว คืออะไร,0
กองทุนรวมที่มีความเสี่ยงต่างประเทศ คืออะไร,0
ความเสี่ยงของกองทุนอสังหาฯ มีอะไรบ้าง,0
Warrant ความหมายในไทยคืออะไร,0
การพยายามขายให้ดีที่สุด คืออะไร,0
ผู้เกี่ยวข้องกับตราสารหนี้ไทย มีกี่กลุ่ม,0
สิทธิ์ของผู้ถือหุ้นสามัญ มีอะไรบ้าง,0
หุ้นกู้แปลงสภาพ (Convertible Bond) คืออะไร,0
หน้าที่ของผู้รับฝากทรัพย์สิน คืออะไร,0
อายุของตราสาร ของ DW คือเท่าไหร่,0
ความเสี่ยงที่จะกระทบต่อความต้องการลงทุนในตราสารทุนมีอะไรบ้าง,0
บริหารแบบเชิงรับมีความเชื่ออย่างไร,0
อัตราส่วนที่ใช้วิเคราะห์ Warrant (ไทย) มีอะไรบ้าง,0
ลักษณะของสิทธิแฝง (Embedded Option) คืออะไร,0
ระดับความเสี่ยงของกองทุนรวมตามประเภทสินทรัพย์ มีอะไรบ้าง,0
XE คืออะไร,0
กองทุนรวมดัชนีกองทุนรวมดัชนี (Index Fund) คืออะไร,0
ที่มาและวัตถุประสงค์ของ RMF คืออะไร,0
เพราะเหตุใดผู้ลงทุนจึงควรทำ Portfolio Rebalancing,0
ในตลาด TBX ปรับช่วงราคาอย่างไร,0
XM คือออะไร,0
ตราสารหนี้แบ่งตามวิธีคืนเงินต้น มีอะไรบ้าง,0
กระทรวงพาณิชย์ ให้ข้อมูลอะไรบ้าง,0
XW คืออะไร,0
สูตรการคำนวณ NAV คืออะไร,0
ILB คืออะไร,0
การซื้อหุ้นด้วยจำนวนเงินเท่าๆ กันตามกำหนดเวลาโดยไม่สนใจว่าราคาจะเป็นเท่าไร เป็นกลยุทธ์การลงทุนแบบใด,0
ตราสารหนี้ที่จ่ายดอกเบี้ยคงที่ คืออะไร,0
Mega-cap Stock คืออะไร,0
ตราสารหนี้แบ่งตามอายุของตราสาร มีอะไรบ้าง,0
การลงทุนที่ลงทุนในหุ้นที่มีราคาต่ำกว่ามูลค่าที่แท้จริง เป็นกลยุทธ์การลงทุนแบบใด,0
ราคาต้นทุน คืออะไร,0
LTF มีการจ่ายปันผลอย่างไร,0
Cash Flow Based Approach (Income Based Approach) คืออะไร,0
ประโยชน์ของ NVDR คืออะไร,0
ที่มาและวัตถุประสงค์ ของ LTF คืออะไร,0
Defensive Stock หุ้นตั้งรับ มีลักษณะอย่างไร,0
ประเมินมูลค่าหุ้น คืออะไร,0
ผู้ลงทุนสถาบัน ตามประกาศของ ก.ล.ต. มีอะไรบ้าง,0
อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ออก คืออะไร,0
สูตรการคำนวณ NAV per unit คืออะไร,0
บริหารแบบเชิงรุกมีเป้าหมายการลงทุนคืออะไร,0
หน้าที่ของกระทรวงการคลัง คืออะไร,0
บริหารแบบเชิงรับ มีวิธีการลงทุนอย่างไร,0
สมาคมตราสารหนี้ไทย มีหน้าที่อะไร,0
Liquidation Value (มูลค่าที่ขายทอดตลาดได้) คืออะไร,0
แหล่งที่มาของเงินทุนในการทำธุรกิจโดยทั่วไปมาจากแหล่งใด,0
การประเมินมูลค่า มีกี่ขั้นตอน,0
อัตราคิดลดคืออะไร,0
