question,answer,topic_link
"
ขอเริ่มเลยนะคะ ประมาณเกือบ 8 ปีที่แล้ว ย่าเราโดนอาบอกว่าจะขอยืมเงิน เอาไปปล่อยกู้ให้ธนาคารแล้วจะได้ดอกเบี้ย
ด้วยความที่ตอนนั้นย่าอายุประมาณ 80 แล้วเลยไม่ค่อยรู้เรื่องอะไรค่ะ เขาให้เซ็นเอกสารก็เซ็นไป หนังสือก็อ่านไม่ค่อยออก
ระหว่างนั้นบ้านเราไม่มีใครรู้เรื่องเลย แต่เพิ่งมารู้เรื่องประมาณปีที่แล้วว่าย่ามีสลากของธนาคารนึง จำนวนเงิน 170,000 บาท
โดยที่เอาไปค้ำเงินกู้ของอาไว้ และตลอด 8 ปีที่ผ่านมา ย่าไม่เคยได้ดอกเบี้ยหรืออะไรเลยสักบาท
แต่ทุกๆปี อาจะมารับย่าไปเซ็นต่ออายุการค้ำที่ธนาคาร
พอเรารู้เรื่อง เราเข้าไปขอสำเนาสัญญาที่ธนาคารดู ได้ความว่า อากู้เงินโดยเอาสลากย่าค้ำไว้ จำนวนเงิน 170,000 บาท 
(แต่อาบอกย่าว่า เอาไปให้ธนาคารกู้ 70,000 เราก็ไม่รู้ว่ามันเป็น 170,000 บาทได้ยังไง น่าจะเพราะย่าอ่านหนังสือไม่ค่อยออกด้วย) 
""และอาเราไม่เคยจ่ายธนาคารแม้แต่บาทเดียว"" ถ้าย่าเราเป็นอะไรไป อาก็ไม่ต้องต่อสัญญา
โดยธนาคารจะยึดสลากย่าไปแทน และถามทางธนาคารแล้ว ""ไม่มีวิธีช่วยเหลือในกรณีนี้ เขาบอกว่าทำอะไรไม่ได้เพราะย่าเซ็นไปแล้ว""

ช่วงประมาณปลายปีที่ผ่านมา (พฤศจิกายน 2565)
ย่าไปถามขอสลากคืนและขอเอาคนไปค้ำแทนได้มั้ย หรือหาคนมาค้ำแทนก็ได้ เขาปฏิเสธที่จะหาคนมาค้ำค่ะ
อาบอกว่างั้นจะขอคืนให้ธันวาคม งวดละ 60,000 บาท เป็นจำนวน 2งวด 50,000 บาท อีก 1งวด
ใช่ค่ะ พอธันวาก็บอก กุมภา ตอนนี้หมดกุมภาแล้วก็ไม่ยอมมาเจอหน้าเลยค่ะ
ตอนนี้ย่าอายุจะครบ 88 ปีแล้ว มีค่ารักษาพยาบาลที่ต้องใช้จ่ายเยอะ
ทำให้ต้องการเงินในส่วนที่เอาไปค้ำคืน มีใครสามารถแนะนำได้บ้างคะว่าต้องทำยังไง
หมดหนทางจริงๆค่ะ จะจ้างทนายก็ต้องใช้เงินไม่ใช่น้อยเลย
รบกวนผู้รู้แนะนำทีค่ะ

ปล. ย่า ในที่นี้คือ พี่สาวของแม่พ่อเราค่ะ","
คนแก่ โดนลูกหลานหลอกให้เซ็นเป็นเรื่องปกติครับ

ญาติพี่น้องต้องร่วมกันประนาม  บอกให้ญาติๆทุกคนรับรู้ และช่วยกันกดดันให้ไปหาเงินมาคืนยายครับ

ธนาคารช่วยอะไรไม่ได้ เพราะย่าไปเซ็นเองครับ จนท นึกว่าย่าใจดี มาค้ำเงินกู้ให้ลูกไงครับ  เขาเลยไม่ถามอะไร
แนะนำว่าถ้าไม่อยากฟ้อง ให้ไปหาศูนย์ดำรงค์ธรรมให้ช่วยเรียกอามาไกล่เกลี่ย  โดยแจ้งว่า ธนาคารไม่มีการซักถามย่าว่ามาทำอะไร
จนท ธนาคารมีส่วนหรือเห็นหรือเปล่า อันนี้น่าสงสัย ลองร้องศูนย์ดำรงค์ธรรมดู


",https://pantip.com/topic/41894336
"
ขอเริ่มเลยนะคะ ประมาณเกือบ 8 ปีที่แล้ว ย่าเราโดนอาบอกว่าจะขอยืมเงิน เอาไปปล่อยกู้ให้ธนาคารแล้วจะได้ดอกเบี้ย
ด้วยความที่ตอนนั้นย่าอายุประมาณ 80 แล้วเลยไม่ค่อยรู้เรื่องอะไรค่ะ เขาให้เซ็นเอกสารก็เซ็นไป หนังสือก็อ่านไม่ค่อยออก
ระหว่างนั้นบ้านเราไม่มีใครรู้เรื่องเลย แต่เพิ่งมารู้เรื่องประมาณปีที่แล้วว่าย่ามีสลากของธนาคารนึง จำนวนเงิน 170,000 บาท
โดยที่เอาไปค้ำเงินกู้ของอาไว้ และตลอด 8 ปีที่ผ่านมา ย่าไม่เคยได้ดอกเบี้ยหรืออะไรเลยสักบาท
แต่ทุกๆปี อาจะมารับย่าไปเซ็นต่ออายุการค้ำที่ธนาคาร
พอเรารู้เรื่อง เราเข้าไปขอสำเนาสัญญาที่ธนาคารดู ได้ความว่า อากู้เงินโดยเอาสลากย่าค้ำไว้ จำนวนเงิน 170,000 บาท 
(แต่อาบอกย่าว่า เอาไปให้ธนาคารกู้ 70,000 เราก็ไม่รู้ว่ามันเป็น 170,000 บาทได้ยังไง น่าจะเพราะย่าอ่านหนังสือไม่ค่อยออกด้วย) 
""และอาเราไม่เคยจ่ายธนาคารแม้แต่บาทเดียว"" ถ้าย่าเราเป็นอะไรไป อาก็ไม่ต้องต่อสัญญา
โดยธนาคารจะยึดสลากย่าไปแทน และถามทางธนาคารแล้ว ""ไม่มีวิธีช่วยเหลือในกรณีนี้ เขาบอกว่าทำอะไรไม่ได้เพราะย่าเซ็นไปแล้ว""

ช่วงประมาณปลายปีที่ผ่านมา (พฤศจิกายน 2565)
ย่าไปถามขอสลากคืนและขอเอาคนไปค้ำแทนได้มั้ย หรือหาคนมาค้ำแทนก็ได้ เขาปฏิเสธที่จะหาคนมาค้ำค่ะ
อาบอกว่างั้นจะขอคืนให้ธันวาคม งวดละ 60,000 บาท เป็นจำนวน 2งวด 50,000 บาท อีก 1งวด
ใช่ค่ะ พอธันวาก็บอก กุมภา ตอนนี้หมดกุมภาแล้วก็ไม่ยอมมาเจอหน้าเลยค่ะ
ตอนนี้ย่าอายุจะครบ 88 ปีแล้ว มีค่ารักษาพยาบาลที่ต้องใช้จ่ายเยอะ
ทำให้ต้องการเงินในส่วนที่เอาไปค้ำคืน มีใครสามารถแนะนำได้บ้างคะว่าต้องทำยังไง
หมดหนทางจริงๆค่ะ จะจ้างทนายก็ต้องใช้เงินไม่ใช่น้อยเลย
รบกวนผู้รู้แนะนำทีค่ะ

ปล. ย่า ในที่นี้คือ พี่สาวของแม่พ่อเราค่ะ","
แจ้งความข้อหาฉ้อโกงได้มั้ย ยายคุณโดนหลอกไปทำธุรกรรมนี่


",https://pantip.com/topic/41894336
"
คือวันนี้ผมมีเรียนเศรษฐศาสตร์ แล้วคำถามท้ายคาบถามว่าหน้าที่สำคัญที่สุดของธนาคารพาณิชย์คืออะไร มีสามตัวเลือก 1.รับฝากเงิน 2.ให้กู้เงิน 3.การสร้างเงิน แล้วคนส่วนมากตอบ การสร้างเงิน มันเป็นไปได้ด้วยเหรอครับ?","
ผมว่าเค้าใช้คำผิด จริงๆ ควรจะบอกว่าการทำกำไรมากกว่า

บริษัทล้วนมีเป้าหมายหลักคือการทำกำไร ถ้าทำกำไรไม่ได้ถึงสินค้าและบริการจะดีแค่ไหนมันก็ทำหน้าที่ของบริษัทไม่ได้เพราะผู้ลงทุนล้วนต้องการสิ่งตอบแทนกลับมา

ธนาคารพาณิชย์เองก็เป็นบริษัทที่แสวงหากำไร


",https://pantip.com/topic/41894155
"
คือวันนี้ผมมีเรียนเศรษฐศาสตร์ แล้วคำถามท้ายคาบถามว่าหน้าที่สำคัญที่สุดของธนาคารพาณิชย์คืออะไร มีสามตัวเลือก 1.รับฝากเงิน 2.ให้กู้เงิน 3.การสร้างเงิน แล้วคนส่วนมากตอบ การสร้างเงิน มันเป็นไปได้ด้วยเหรอครับ?","
ผมไม่ได้เรียนเศรษฐศาสตร์นะครับ ตามความเข้าใจของผม ความสำคัญของธนาคารในระบบเศรษฐกิจ คือ เป็นแหล่งเงินทุนให้กับกิจการต่างๆ ... แต่ถ้ามองในมุมของผู้ฝากเงิน ธนาคารก็ทำหน้าที่เป็นแหล่งรายได้ ส่วนในมุมมองของผู้นำเข้าส่งออก ธนาคารก็เป็นที่รับและแลกเงิน และเป็นผู้ทำหน้าที่ค้ำประกันการจ่ายเงิน / ตัวกลางสำหรับการชำระเงิน

มองได้หลายมุมครับ


",https://pantip.com/topic/41894155
"
คือวันนี้ผมมีเรียนเศรษฐศาสตร์ แล้วคำถามท้ายคาบถามว่าหน้าที่สำคัญที่สุดของธนาคารพาณิชย์คืออะไร มีสามตัวเลือก 1.รับฝากเงิน 2.ให้กู้เงิน 3.การสร้างเงิน แล้วคนส่วนมากตอบ การสร้างเงิน มันเป็นไปได้ด้วยเหรอครับ?","
ธนาคาร แตกต่างจากบริษัทหรือคนทั่วไป ตรงที่สามารถให้กู้ได้มากกว่ารับฝากมา (ไม่ใช่เท่าไหร่ก็ได้ ต้องอยู่ภายใต้ข้อกำหนดของแบงค์ชาติ)

การให้กู้ออกไปได้มากกว่ารับฝากเข้ามา นี่ละครับคือการสร้างเงิน(credit)

***

คนทั่วไป รับฝากและให้กู้(กันเอง)ก็ได้ แต่ไม่มีทางให้กู้ได้เกินเงินที่รับฝากมาครับ


",https://pantip.com/topic/41894155
"
คือวันนี้ผมมีเรียนเศรษฐศาสตร์ แล้วคำถามท้ายคาบถามว่าหน้าที่สำคัญที่สุดของธนาคารพาณิชย์คืออะไร มีสามตัวเลือก 1.รับฝากเงิน 2.ให้กู้เงิน 3.การสร้างเงิน แล้วคนส่วนมากตอบ การสร้างเงิน มันเป็นไปได้ด้วยเหรอครับ?","
สร้างเงิน ไม่เท่ากับ พิมพ์ธนบัตร
currency ไม่เท่ากับ money

currency (เงินตรา) คือกระดาษที่เรียกว่าธนบัตร และโลหะที่เรียกว่าเหรียญกษาปณ์
money (เงิน) คือตัวกลางในการแลกเปลี่ยนสินค้าและบริการ
currency เป็นส่วนหนึ่งของ money

ตัวอย่าง A นำธนบัตร 100 บาท 1 ใบ ฝากธนาคาร แล้วธนาคารนำไปปล่อยกู้
ตอนนี้ธนบัตร 100 บาทก็ยังคงมี 1 ใบเหมือนเดิม ไม่มีการพิมพ์ธนบัตรเพิ่ม
แต่เงินในระบบเพิ่มขึ้นจาก 100 บาทเป็น 200 บาท
คือ A มีเงิน 100 บาทอยู่ในรูปเงินฝาก และผู้กู้มีเงิน 100 บาทอยู่ในรูปธนบัตร

ผู้กู้คนนั้นนำเงินไปใช้จ่าย ผู้ขายได้เงินมาเอาไปฝากธนาคาร
ธนาคารปล่อยกู้ มีผู้กู้รายใหม่ ธนบัตร 100 บาทใบเดียว (currency) สร้าง money ได้หลายรอบ

การปล่อยกู้เงินเป็นการสร้างเงินในระบบให้สูงขึ้นโดยไม่ต้องพิมพ์ธนบัตรใหม่
สาเหตุที่เศรษฐกิจโลกโตทุกวันนี้เพราะมีธนาคารพาณิชย์เป็นส่วนสำคัญ
สร้าง money ให้มากกว่า currency 5 - 10 เท่าได้ง่ายๆ
อยากได้อะไรขอกู้ธนาคารเอา ง่ายดี ไม่ต้องสะสมเงินทั้งชีวิตเพื่อสร้างธุรกิจ

ถ้าสนใจลองศึกษา monetary system (ระบบการเงิน)


",https://pantip.com/topic/41894155
"
คือวันนี้ผมมีเรียนเศรษฐศาสตร์ แล้วคำถามท้ายคาบถามว่าหน้าที่สำคัญที่สุดของธนาคารพาณิชย์คืออะไร มีสามตัวเลือก 1.รับฝากเงิน 2.ให้กู้เงิน 3.การสร้างเงิน แล้วคนส่วนมากตอบ การสร้างเงิน มันเป็นไปได้ด้วยเหรอครับ?","
สร้างเงินให้แก่ระบบเศรษฐกิจ 

ไม่มีธนาคาร คนอยากฝากเงิน กับคนอยากได้เงิน จะไม่เจอกัน


",https://pantip.com/topic/41894155
"
เราทำสัญญาสินเชื่อเงินติดล้อ ตั้งแต่วันศุกร์ที่แล้ว และวันนี้ เจ้าหน้าที่เอาเอกสารมาให้เซ็นอีกรอบ แล้วส่งไปที่สาขาใหญ่ช่วง10โมง พนักงานที่สาขาย่อยแจ้งว่า จะได้เงินวันนี้ อยากทราบว่า ได้ภายในวันนี้จริงไหม และได้ประมาณกี่โมง ปล.คือเราไม่ค่อยเชื่อคำพูดของพนักงานสาขาย่อยนี้เลย เพราะตอนให้เซ็นเอกสารรอบแรก นัดแล้วเลื่อนแล้วเลื่อนอีก พอรอบสอง นัดเมื่อวานซืน เลื่อนมาเมื่อวาน และก็จบที่วันนี้ เราเลยไม่รู้จะเชื่อได้ไหม ว่าเงินจะเข้าจริงไหม แล้วผ่านจริงรึป่าว 😂  #เงินติดล้อ","
สวัสดีครับ คุณสมาชิกหมายเลข 6448443

         สําหรับการยื่นเรื่องสินเชื่อทะเบียนรถมอเตอร์ไซค์ ระยะเวลาพิจารณาอนุมัติ 1 วันทำการ ,รถยนต์ 1-2 วันทําการครับ และผลการพิจารณาอนุมัติสินเชื่อ แอดมินจะรีบดูแลให้อย่างเร่งด่วนที่สุดเลยครับ 

คุณลูกค้าแจ้งชื่อ-นามสกุล เบอร์โทรศัพท์ติดต่อกลับที่ใช้ยื่นเรื่องพิจารณาไว้ผ่านหลังไมค์ได้เลยครับ

ขอบคุณครับ


",https://pantip.com/topic/41893738
"
เราทำสัญญาสินเชื่อเงินติดล้อ ตั้งแต่วันศุกร์ที่แล้ว และวันนี้ เจ้าหน้าที่เอาเอกสารมาให้เซ็นอีกรอบ แล้วส่งไปที่สาขาใหญ่ช่วง10โมง พนักงานที่สาขาย่อยแจ้งว่า จะได้เงินวันนี้ อยากทราบว่า ได้ภายในวันนี้จริงไหม และได้ประมาณกี่โมง ปล.คือเราไม่ค่อยเชื่อคำพูดของพนักงานสาขาย่อยนี้เลย เพราะตอนให้เซ็นเอกสารรอบแรก นัดแล้วเลื่อนแล้วเลื่อนอีก พอรอบสอง นัดเมื่อวานซืน เลื่อนมาเมื่อวาน และก็จบที่วันนี้ เราเลยไม่รู้จะเชื่อได้ไหม ว่าเงินจะเข้าจริงไหม แล้วผ่านจริงรึป่าว 😂  #เงินติดล้อ","
ความคิดเห็นนี้ถูกลบเนื่องจาก เจ้าของข้อความแจ้งลบค่ะ
ความคิดเห็นนี้ได้ถูก Pantip.com ลบออกไปจากระบบแล้ว หากเนื้อหาที่ถูกลบยังคงถูกนำไปแสดงใน application หรือเว็บไซต์ใดๆ ทาง Pantip.com ไม่มีส่วนเกี่ยวข้องใดๆด้วย การดำเนินการทางกฎหมายกรุณาติดต่อผู้พัฒนา application หรือเว็บไซต์นั้นๆโดยตรงค่ะ
",https://pantip.com/topic/41893738
"
เราทำสัญญาสินเชื่อเงินติดล้อ ตั้งแต่วันศุกร์ที่แล้ว และวันนี้ เจ้าหน้าที่เอาเอกสารมาให้เซ็นอีกรอบ แล้วส่งไปที่สาขาใหญ่ช่วง10โมง พนักงานที่สาขาย่อยแจ้งว่า จะได้เงินวันนี้ อยากทราบว่า ได้ภายในวันนี้จริงไหม และได้ประมาณกี่โมง ปล.คือเราไม่ค่อยเชื่อคำพูดของพนักงานสาขาย่อยนี้เลย เพราะตอนให้เซ็นเอกสารรอบแรก นัดแล้วเลื่อนแล้วเลื่อนอีก พอรอบสอง นัดเมื่อวานซืน เลื่อนมาเมื่อวาน และก็จบที่วันนี้ เราเลยไม่รู้จะเชื่อได้ไหม ว่าเงินจะเข้าจริงไหม แล้วผ่านจริงรึป่าว 😂  #เงินติดล้อ","
เรียนคุณสมาชิกหมายเลข 6448443 
        ขอบคุณสำหรับข้อมูลครับ แอดมินทำการประสานงานเจ้าหน้าที่โดยเร่งด่วน ในการติดต่อกลับดูแลข้อมูลครับผม

    ขอบคุณครับ


",https://pantip.com/topic/41893738
